type,latitude,longitude,alt,speed,course
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.380000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905833,-114.030168,1036.600000,0.170000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030170,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905835,-114.030172,1036.600000,0.210000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905837,-114.030172,1036.600000,0.230000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905838,-114.030172,1036.600000,0.220000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.060000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.600000,0.140000,233.170000
T,50.905837,-114.030172,1036.700000,0.140000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030172,1036.700000,0.220000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905837,-114.030170,1036.700000,0.360000,233.170000
T,50.905835,-114.030168,1036.700000,0.220000,233.170000
